Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,4,1522,38,C,,,,1.1,,,
SW,4,1523,39.2,C,,,,1.7,,,
SW,4,1524,39.1,L,,,1.1,,,,
SW,4,1525,39.4,L,,,,4.6,,MAIN STEM,
SW,4,1526,39.4,L,,,,1.5,,STEM 0F 1526,
SW,4,1516,38,C,,,1.5,,,,
SW,4,1527,38.7,C,,,,1.3,LIANA,,
SW,4,1517,39,R,,,1.4,,,,
SW,4,1529,40.3,L,,,1.2,,,,
SW,4,1528,40.3,L,,,1.5,,,,
SW,4,1530,40.4,RR,,,1.7,,,,
SW,4,1535,41.8,R,,,,9.6,,,
SW,4,1537,42.4,R,,,1.1,,,,
SW,4,1531,40.8,R,,,1,,,,
SW,4,1536,43.7,RR,,,1.7,,,,
SW,4,1540,43.2,LL,,31.5 CM ABOVE WASTE,,75,,,
SW,4,1532,41.2,C,,,1,,,,
